中央卫视,#genre#
CCTV-1 综合,http://183.196.25.171:808/hls/1/index.m3u8
CCTV-2 财经,http://183.196.25.171:808/hls/2/index.m3u8
CCTV-3 综艺,http://183.196.25.171:808/hls/75/index.m3u8
CCTV-4 中文国际,http://183.196.25.171:808/hls/4/index.m3u8
CCTV-5 体育,http://183.196.25.171:808/hls/78/index.m3u8
CCTV-6 电影,http://183.196.25.171:808/hls/76/index.m3u8
CCTV-7 国防军事,http://183.196.25.171:808/hls/7/index.m3u8
CCTV-8 电视剧,http://183.196.25.171:808/hls/77/index.m3u8
CCTV-9 纪录,http://183.196.25.171:808/hls/9/index.m3u8
CCTV-10 科教,http://183.196.25.171:808/hls/10/index.m3u8
CCTV-11 戏曲,http://183.196.25.171:808/hls/11/index.m3u8
CCTV-12 社会与法,http://183.196.25.171:808/hls/12/index.m3u8
CCTV-13 新闻,http://183.196.25.171:808/hls/13/index.m3u8
CCTV-14 少儿,http://183.196.25.171:808/hls/14/index.m3u8
CCTV-15 音乐,http://183.196.25.171:808/hls/15/index.m3u8
CCTV-17 农业农村,http://183.196.25.171:808/hls/93/index.m3u8


CCTV-1 综合,http://china.733240.com/cqyx.php?id=cctv1HD
CCTV-2 财经,http://china.733240.com/cqyx.php?id=cctv2HD
CCTV-3 综艺,http://china.733240.com/cqyx.php?id=cctv3HD
CCTV-4 中文国际,http://china.733240.com/cqyx.php?id=cctv4HD
CCTV-5 体育,http://china.733240.com/cqyx.php?id=cctv5HD
CCTV-5+ 体育赛事,http://china.733240.com/cqyx.php?id=cctv5SportHD
CCTV-6 电影,http://china.733240.com/cqyx.php?id=cctv6HD
CCTV-7 国防军事,http://china.733240.com/cqyx.php?id=cctv7HD
CCTV-8 电视剧,http://china.733240.com/cqyx.php?id=cctv8HD
CCTV-9 纪录,http://china.733240.com/cqyx.php?id=cctv9HD
CCTV-10 科教,http://china.733240.com/cqyx.php?id=cctv10HD
CCTV-11 戏曲,http://china.733240.com/cqyx.php?id=cctv11HD
CCTV-12 社会与法,http://china.733240.com/cqyx.php?id=cctv12HD
CCTV-13 新闻,http://china.733240.com/cqyx.php?id=CCTVNewsHD
CCTV-14 少儿,http://china.733240.com/cqyx.php?id=cctvseHD
CCTV-15 音乐,http://china.733240.com/cqyx.php?id=cctv15HD
CCTV-16 奥林匹克,http://china.733240.com/cqyx.php?id=cctv16HD
CCTV-17 农业农村,http://china.733240.com/cqyx.php?id=cctv17HD
CCTV-4K 超高清,http://china.733240.com/cqyx.php?id=CCTV4K
CCTV-16 4K,http://china.733240.com/cqyx.php?id=CCTV16_4k
CCTV风云剧场,http://china.733240.com/cqyx.php?id=shandongHD
CCTV风云剧场,http://china.733240.com/cqyx.php?id=fyjcHD
CCTV风云音乐,http://china.733240.com/cqyx.php?id=fyyyHD
CCTV风云足球,http://china.733240.com/cqyx.php?id=fyzqHD
CCTV怀旧剧场,http://china.733240.com/cqyx.php?id=hjjcHD
CCTV第一剧场,http://china.733240.com/cqyx.php?id=diyijuchangHD
CCTV兵器科技,http://china.733240.com/cqyx.php?id=bqkjHD
CCTV央视文化精品,http://china.733240.com/cqyx.php?id=yswhHD
CCTV高尔夫网球,http://china.733240.com/cqyx.php?id=golfHD
CCTV央视台球,http://china.733240.com/cqyx.php?id=ystqHD
CCTV女性时尚,http://china.733240.com/cqyx.php?id=nvxing

地方卫视,#genre#
北京卫视,https://cntv.sbs/tv?auth=2310201855&id=bjws
东方卫视,https://cntv.sbs/tv?auth=2310201855&id=dfws
天津卫视,https://cntv.sbs/tv?auth=2310201855&id=tjws
重庆卫视,https://cntv.sbs/tv?auth=2310201855&id=cqws
黑龙江卫视,https://cntv.sbs/tv?auth=2310201855&id=hljws
吉林卫视,https://cntv.sbs/tv?auth=2310201855&id=jlws
辽宁卫视,https://cntv.sbs/tv?auth=2310201855&id=lnws
内蒙古卫视,https://cntv.sbs/tv?auth=2310201855&id=nmws
宁夏卫视,https://cntv.sbs/tv?auth=2310201855&id=nxws
甘肃卫视,https://cntv.sbs/tv?auth=2310201855&id=gsws
青海卫视,https://cntv.sbs/tv?auth=2310201855&id=qhws
陕西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxws
河北卫视,https://cntv.sbs/tv?auth=2310201855&id=hbws
山西卫视,https://cntv.sbs/tv?auth=2310201855&id=sxiws
山东卫视,https://cntv.sbs/tv?auth=2310201855&id=sdws
安徽卫视,https://cntv.sbs/tv?auth=2310201855&id=ahws
河南卫视,https://cntv.sbs/tv?auth=2310201855&id=hnws
湖北卫视,https://cntv.sbs/tv?auth=2310201855&id=hubws
湖南卫视,https://cntv.sbs/tv?auth=2310201855&id=hunws
江西卫视,https://cntv.sbs/tv?auth=2310201855&id=jxws
江苏卫视,https://cntv.sbs/tv?auth=2310201855&id=jsws
浙江卫视,https://cntv.sbs/tv?auth=2310201855&id=zjws
东南卫视,https://cntv.sbs/tv?auth=2310201855&id=dnws
海峡卫视,https://cntv.sbs/tv?auth=2310201855&id=hxws
厦门卫视,https://cntv.sbs/tv?auth=2310201855&id=xmws
广东卫视,https://cntv.sbs/tv?auth=2310201855&id=gdws
深圳卫视,https://cntv.sbs/tv?auth=2310201855&id=szws
广西卫视,https://cntv.sbs/tv?auth=2310201855&id=gxws
云南卫视,https://cntv.sbs/tv?auth=2310201855&id=ynws
贵州卫视,https://cntv.sbs/tv?auth=2310201855&id=gzws
四川卫视,https://cntv.sbs/tv?auth=2310201855&id=scws
康巴卫视,https://cntv.sbs/tv?auth=2310201855&id=kbws
海南卫视,https://cntv.sbs/tv?auth=2310201855&id=hinws
三沙卫视,https://cntv.sbs/tv?auth=2310201855&id=ssws
新疆卫视,https://cntv.sbs/tv?auth=2310201855&id=xjws
兵团卫视,https://cntv.sbs/tv?auth=2310201855&id=btws
西藏卫视,https://cntv.sbs/tv?auth=2310201855&id=xzws
西藏藏语卫视,https://cntv.sbs/tv?auth=2310201855&id=xzzyws
深圳卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8
湖北卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
天津卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8
海南卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
重庆卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8
贵州卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
江苏卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
深圳卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
北京卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
